,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
0,MSFT,Microsoft Corporation,4.00889556431617,0.47728121033709664,2.351237712776,-0.2588238753100303,1.1353084479075892,0.3085853183548721,-0.730426987567574,0.09292317442929131,0.6479986286386767,0.6425827161130471,0.1349689428538516,0.6489227027348333,0.6939132976808441,0.7353520872271251,-0.6696790107355645,-0.6882962411176698,-1.3079687923755339,0.6697641088130064,1.588530899377878,0.5347738574281019,2.126986753564614,1.7320638593896098,0.03737688080582538,0.4785456244794281,-0.4019344767031842,0.2208334077721027,-0.6084424908104727
1,AAPL,Apple Inc,3.9234409258080936,-0.05769061981267221,2.7536221234514255,0.6988277161192274,1.106459641577917,-0.000753560650067408,-0.8301599925819914,-0.12235990861457034,0.660602274327224,0.6578256804337025,-0.07764069942672742,0.6612244821107821,0.6981180314321361,0.7359903354966147,3.2053225805270196,-0.7718956007527763,1.0228798927056613,0.6631680512036201,1.776488172651263,-0.23681714783865854,1.846840502219265,1.8221159604150592,0.48384736024558755,0.2531516274473789,0.4649865217504185,-0.12984385976654816,-0.9714904304602568
2,NVDA,NVIDIA Corporation,3.9025202665085503,2.0548170415227154,1.209458973348414,0.747521864835969,1.104381681586316,2.6440737939550707,-1.1352256549790332,10.299549342329295,0.5162798472821647,0.5363749855297323,0.15074856474186327,0.5156691725104421,0.5076290351424888,0.5166814524059635,-0.49361700147119747,-0.651732685289264,0.9942147905506579,0.5316501598039387,0.19263038003203403,-0.32278359517586175,0.5786648789373433,0.12645410532204263,0.93618363051883,4.194482306666412,1.6130710872700544,3.5507857144560244,-1.7255130743482696
3,GOOG,Alphabet Inc.,3.6623409774462403,-0.08433570285221256,2.600519574882683,0.19565484604622757,1.0291375064868096,-0.09102755257757895,-0.8770931714123055,-0.28060217478356264,0.6326736156771726,0.6381086530037884,-0.07390342055851414,0.6355154659682885,0.6698602995264842,0.7308744237382777,-0.5858240236005859,-0.75081221361619,-1.2268124184205949,0.6383625670609337,0.7821395601209423,-0.24461312468051274,1.9928796868436554,1.2456664697958828,-0.04893404145824276,0.09925723672459028,-0.09734061238164812,-0.11601433372277037,-0.887710136694922
4,GOOGL,Alphabet Inc.,3.661032253388635,-0.08794180431621051,2.600519574882683,0.19565484604622757,1.028759304045808,-0.10065677838318027,-0.8770931714123055,-0.28060217478356264,0.6326736156771726,0.6381086530037884,-0.07390342055851414,0.6355154659682885,0.6698602995264842,0.7308744237382777,-0.5858240236005859,-0.75081221361619,-1.2268124184205949,0.6383625670609337,0.7821395601209423,-0.24461312468051274,1.9928796868436554,1.2456664697958828,-0.049101635482056497,0.0972143908300399,-0.09734061238164812,-0.11305086385624658,-0.8667650632535884
5,AMZN,"Amazon.com, Inc.",3.529864697898947,-0.07514237010757584,3.121344299942975,0.796216013552711,1.0087053779662163,0.8550438828227421,-1.1410923023328223,-0.28060217478356264,0.5572631908414134,0.5599552219589501,-0.19598786358681533,0.558403316847723,0.6560824729580979,0.7185467585936942,-0.6235766725732925,-0.6832886289038104,1.086964116400986,0.599060478321602,1.95310643710115,-0.23976697691395468,2.198351301602772,1.9449715384467925,-0.027649600433899753,0.11832379840705952,0.2306835491953905,-0.08341616519100845,-1.0482890330784804
6,META,"Meta Platforms, Inc.",3.124316856661223,0.5876902428150584,1.9258345547902205,-0.047815897537482034,0.8850465472582204,-0.0789910203205774,-1.0824258287949298,-0.28060217478356264,0.5706458395171317,0.5793441018397,0.377476816080137,0.5695092770891426,0.5983874347621483,0.6767502072601337,-0.5686608438221947,-0.6950133945443945,1.0806279833307812,0.5980948632513925,1.0626305992662806,0.6283255795303522,1.5252336364770958,0.9368823787447191,-0.03787283588653694,0.0025625310492095967,0.3478350354729045,0.7700631563678488,-1.0762157976669253
7,BRK.B,Berkshire Hathaway Inc.,2.8207294625399397,0.41847059263411784,2.7252184767579584,-0.5347573847049012,0.7848871018476887,-0.708100439619858,-1.1410923023328223,-0.28060217478356264,0.5665316340132373,0.626576935480973,1.06222935537833,0.5632403946782916,0.5932605902259942,0.6123592018239816,-0.5730454806945834,-0.6544423994423347,1.0366266254993846,0.6589153688221017,1.8883223469047923,-0.1550647420375925,2.7416193143461256,2.2556610733317726,-0.14865248562740888,-0.3671925758643935,-0.4019344767031842,0.001536637649340764,0.4318294901091004
8,LLY,Eli Lilly and Company,2.702245216394133,1.3176809305332593,0.765135763047879,-0.1289728120653853,0.779731458687688,3.587336705162092,-0.7656268716903095,0.2776618200498358,0.34985261810292545,0.3786941061535254,-0.06269158395387421,0.34172745487569084,0.30933941811337873,0.191164737479075,-0.46715517098506726,1.9629655783730589,-1.212602902242173,0.4381349560931777,0.8100368207279782,0.6774191634263533,0.5573253514087042,0.6861523708290587,0.8300966134447424,4.679317732306348,-1.6203099339893285,1.3024999090532934,-0.7620396960469199
9,AVGO,Broadcom Inc.,2.5561261572587273,2.66349135282864,0.831168679217815,-0.453600470176998,0.7551533983008649,0.9140228908820497,-0.266961846618222,0.20590079236854864,0.42097341515698083,0.4425497005934801,0.7757046421486433,0.4192595996070814,0.4232315749608431,0.45295247470316924,-0.56734614384124,2.0116432769169488,-1.1957846173205544,0.40819191184809545,1.5525759024928212,1.8238491633325367,1.3504720646977293,1.2024948605729182,-0.01826433510033117,1.2282700677793856,0.4649865217504185,3.279134310024675,-0.5176805058980268
10,JPM,JPMorgan Chase & Co.,2.4340973831956796,-0.03652146862586949,2.030908416390066,-1.037930254777901,0.7755708435304836,-0.7032858267170574,0.2141032363924976,-0.05059888093328313,0.6043338468478041,0.5851779269942983,0.343426053058638,0.5831305621872558,0.6040623754820289,-7.1951789989020565,3.021792754939195,2.1319309652223906,1.0673413799990046,0.6326530740143604,3.1686986208733776,0.5223424348964965,3.7812864058768794,3.662666453834464,-0.14580338722257555,-0.45707779522460645,0.13696236017337984,-0.121941273455818,-0.5665523439278053
11,TSLA,"Tesla, Inc.",2.419260591059041,-0.08716270832090234,1.5810961253738947,0.439125589629937,0.683430580524331,0.6227388102626125,-1.1410923023328223,-0.28060217478356264,0.3473896685480114,0.4582497881131778,-0.18186925452912064,0.3613797723314167,0.3699111802099079,0.36640441422888265,-0.5379504832883395,1.9678973082523232,-1.2834982584933967,-3.431874878543271,-0.29844829262286077,1.9730262337118007,0.9724221163045037,0.584004200691803,-0.02748200641008603,1.4434498353386835,3.159470706133238,0.3087496804789758,-1.467190501905154
